SKU,Name,Regular price,Description,Categories,Images
laptop-asus-tuf-gaming-f16-fx607vj-rl034w,Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,21490000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_7_36.png"
laptop-acer-gaming-aspire-7-a715-59g-57tu,Laptop Acer Gaming Aspire 7 A715-59G-57TU,18990000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_1__4_8.png"
laptop-gaming-acer-nitro-v-anv15-51-57b2,Laptop Gaming Acer Nitro V ANV15-51-57B2,23290000,Xem chi tiết: https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-57b2.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_15__1_2.png"
laptop-asus-vivobook-16x-k3605vc-rp431w,Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W,17990000,Xem chi tiết: https://cellphones.com.vn/laptop-asus-vivobook-16x-k3605vc-rp431w.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_1__4_10.png"
laptop-gaming-acer-nitro-v-anv15-41-r7ap,Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7AP,17390000,Xem chi tiết: https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-41-r7ap.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_619.png"
laptop-hp-victus-15-fb3116ax-bx8u4pa,Laptop HP Victus 15-FB3116AX BX8U4PA,22190000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-victus-15-fb3116ax-bx8u4pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_7_82.png"
laptop-msi-katana-15-b13udxk-2270vn-16gb,Laptop MSI Katana 15 B13UDXK-2270VN V2,20490000,Xem chi tiết: https://cellphones.com.vn/laptop-msi-katana-15-b13udxk-2270vn-16gb.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_6_46.png"
laptop-acer-gaming-nitro-lite-16-nl16-71g-71uj,Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ,22390000,Xem chi tiết: https://cellphones.com.vn/laptop-acer-gaming-nitro-lite-16-nl16-71g-71uj.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_7_21.png"
laptop-msi-gaming-katana-a15-ai-b8ve-402vn,Laptop MSI Gaming Katana AI B8VE-402VN,24990000,Xem chi tiết: https://cellphones.com.vn/laptop-msi-gaming-katana-a15-ai-b8ve-402vn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_509_15_.png"
laptop-hp-victus-15-fa2731tx-b85lnpa,Laptop HP Victus 15-FA2731TX B85LNPA,19990000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-victus-15-fa2731tx-b85lnpa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_d_i_7_78.png"